Date,GBP_Rate,EUR_Rate,GBP_7DMA,EUR_7DMA,GBP_EUR_Ratio
2018-08-01,89.5221,79.5748,88.96957143,79.50541429,1.125005655
2018-08-02,89.5171,79.6746,88.84175714,79.4501,1.123533723
2018-08-03,89.2585,79.3805,88.8009,79.45368571,1.124438622
2018-08-06,89.135,79.5599,88.8164,79.53815714,1.12035083
2018-08-07,88.8167,79.7169,88.77912857,79.55417143,1.114151453
2018-08-08,88.3475,79.6327,88.86241429,79.63001429,1.109437455
2018-08-09,88.1901,78.9985,89.13528571,79.83228571,1.116351576
2018-08-10,88.6274,79.1876,89.38947143,80.14248571,1.119208058
2018-08-13,89.2311,79.6997,89.579,80.44471429,1.119591416
2018-08-14,89.367,79.9718,89.73545714,80.76284286,1.117481412
2018-08-16,88.8741,79.672,89.91527143,81.10081429,1.115499799
2018-08-20,89.3997,80.2478,90.38351429,81.53601429,1.114045494
2018-08-21,90.2576,81.0486,90.80541429,81.9062,1.113623184
2018-08-23,89.9694,81.1699,91.10475714,82.16198571,1.108408412
2018-08-24,89.9541,81.3032,91.30315714,82.30121429,1.106402946
2018-08-27,90.3263,81.9266,91.51832857,82.47102857,1.10252714
2018-08-28,90.6257,82.3376,91.78964286,82.64308571,1.100659966
2018-08-29,92.1518,82.7184,92.10035714,82.8235,1.114042341
2018-08-30,92.353,82.8391,92.22672857,82.96007143,1.11484794
2018-08-31,92.353,82.8391,92.42481429,83.0985,1.11484794
2018-09-01,91.3582,82.1445,92.71984286,83.27535714,1.112164539
2018-09-03,91.4603,82.4919,93.18597143,83.58677143,1.108718553
2018-09-04,92.2255,83.131,93.57097143,83.79894286,1.109399622
2018-09-05,92.8007,83.6005,93.95882857,83.98001429,1.110049581
2018-09-06,93.0364,83.6744,94.3144,84.14647143,1.111886073
2018-09-07,93.7396,83.8081,94.67955714,84.32227143,1.118502865
2018-09-10,94.4182,84.0771,94.88104286,84.44725714,1.122995441
2018-09-11,94.6211,84.3244,94.96348571,84.61531429,1.122108192
2018-09-12,94.1553,83.9771,95.08927143,84.80092857,1.12120209
2018-09-14,94.9405,84.3985,95.31992857,85.0237,1.124907433
2018-09-17,95.2897,84.7657,95.39052857,85.1156,1.124153992
2018-09-18,95.5925,84.905,95.336,85.06947143,1.125875979
